"variable","region_i","region_j","n_i","n_j","nABCD","abs_SMD","SMD","skew_i","skew_j","skew_diff","sd_i","sd_j","sd_ratio","kurt_i","kurt_j","kurt_diff","ratio"
"weight",7,16,3150,1231,0.20116,0.49474,0.49474,0.6678,0.3391,0.3286,16.8838,12.665,1.3331,4.5014,3.8344,0.6669,0.4066
"weight",8,9,2916,3123,0.17049,0.40932,-0.40932,0.5113,0.6501,0.1389,12.5878,16.9487,1.3464,4.1298,4.181,0.0513,0.4165
"weight",8,10,2916,1717,0.20548,0.48378,-0.48378,0.5113,0.8108,0.2995,12.5878,17.0594,1.3552,4.1298,5.0083,0.8785,0.4247
"weight",8,11,2916,2491,0.20279,0.46651,-0.46651,0.5113,0.5376,0.0263,12.5878,16.7792,1.333,4.1298,4.0874,0.0423,0.4347
"weight",8,12,2916,4352,0.14501,0.33311,-0.33311,0.5113,0.7261,0.2148,12.5878,16.8359,1.3375,4.1298,4.5622,0.4324,0.4353
"weight",8,13,2916,2297,0.06391,0.15213,-0.15213,0.5113,0.5133,0.002,12.5878,12.0422,1.0453,4.1298,4.5414,0.4117,0.4201
"weight",8,14,2916,3437,0.15508,0.36586,-0.36586,0.5113,0.6775,0.1663,12.5878,16.4807,1.3093,4.1298,4.3978,0.2681,0.4239
"weight",8,15,2916,2576,0.17708,0.39228,-0.39228,0.5113,0.879,0.3677,12.5878,16.8485,1.3385,4.1298,5.9381,1.8084,0.4514
"weight",8,16,2916,1231,0.03613,0.08016,0.08016,0.5113,0.3391,0.1722,12.5878,12.665,1.0061,4.1298,3.8344,0.2953,0.4507
"weight",9,10,3123,1717,0.01983,0.04882,-0.04882,0.6501,0.8108,0.1606,16.9487,17.0594,1.0065,4.181,5.0083,0.8272,0.4062
"weight",9,11,3123,2491,0.0201,0.04162,-0.04162,0.6501,0.5376,0.1125,16.9487,16.7792,1.0101,4.181,4.0874,0.0936,0.4829
"weight",9,12,3123,4352,0.02655,0.06235,0.06235,0.6501,0.7261,0.0759,16.9487,16.8359,1.0067,4.181,4.5622,0.3812,0.4258
"weight",9,13,3123,2297,0.1269,0.28287,0.28287,0.6501,0.5133,0.1368,16.9487,12.0422,1.4074,4.181,4.5414,0.3604,0.4486
"weight",9,14,3123,3437,0.0188,0.04298,0.04298,0.6501,0.6775,0.0274,16.9487,16.4807,1.0284,4.181,4.3978,0.2168,0.4374
"weight",9,15,3123,2576,0.01444,0.02119,0.02119,0.6501,0.879,0.2289,16.9487,16.8485,1.0059,4.181,5.9381,1.7571,0.6815
"weight",9,16,3123,1231,0.18827,0.45104,0.45104,0.6501,0.3391,0.311,16.9487,12.665,1.3382,4.181,3.8344,0.3466,0.4174
"weight",10,11,1717,2491,0.01251,0.00753,0.00753,0.8108,0.5376,0.2731,17.0594,16.7792,1.0167,5.0083,4.0874,0.9208,NA
"weight",10,12,1717,4352,0.04487,0.11137,0.11137,0.8108,0.7261,0.0847,17.0594,16.8359,1.0133,5.0083,4.5622,0.4461,0.4029
"weight",10,13,1717,2297,0.15247,0.35346,0.35346,0.8108,0.5133,0.2974,17.0594,12.0422,1.4166,5.0083,4.5414,0.4668,0.4314
"weight",10,14,1717,3437,0.03689,0.09279,0.09279,0.8108,0.6775,0.1332,17.0594,16.4807,1.0351,5.0083,4.3978,0.6105,0.3976
"weight",10,15,1717,2576,0.0302,0.07013,0.07013,0.8108,0.879,0.0683,17.0594,16.8485,1.0125,5.0083,5.9381,0.9298,0.4306
"weight",10,16,1717,1231,0.22188,0.51897,0.51897,0.8108,0.3391,0.4716,17.0594,12.665,1.347,5.0083,3.8344,1.1738,0.4275
"weight",11,12,2491,4352,0.04355,0.10437,0.10437,0.5376,0.7261,0.1885,16.7792,16.8359,1.0034,4.0874,4.5622,0.4748,0.4173
"weight",11,13,2491,2297,0.14728,0.33772,0.33772,0.5376,0.5133,0.0243,16.7792,12.0422,1.3934,4.0874,4.5414,0.454,0.4361
"weight",11,14,2491,3437,0.03693,0.08552,0.08552,0.5376,0.6775,0.1399,16.7792,16.4807,1.0181,4.0874,4.3978,0.3104,0.4318
"weight",11,15,2491,2576,0.03078,0.06307,0.06307,0.5376,0.879,0.3414,16.7792,16.8485,1.0041,4.0874,5.9381,1.8507,0.488
"weight",11,16,2491,1231,0.20738,0.50539,0.50539,0.5376,0.3391,0.1985,16.7792,12.665,1.3248,4.0874,3.8344,0.253,0.4103
"weight",12,13,4352,2297,0.11634,0.20905,0.20905,0.7261,0.5133,0.2128,16.8359,12.0422,1.3981,4.5622,4.5414,0.0208,0.5565
"weight",12,14,4352,3437,0.01217,0.02006,-0.02006,0.7261,0.6775,0.0485,16.8359,16.4807,1.0216,4.5622,4.3978,0.1644,0.6067
"weight",12,15,4352,2576,0.01877,0.04124,-0.04124,0.7261,0.879,0.1529,16.8359,16.8485,1.0007,4.5622,5.9381,1.3759,0.4551
"weight",12,16,4352,1231,0.15389,0.38093,0.38093,0.7261,0.3391,0.387,16.8359,12.665,1.3293,4.5622,3.8344,0.7278,0.404
"weight",13,14,2297,3437,0.11767,0.23843,-0.23843,0.5133,0.6775,0.1642,12.0422,16.4807,1.3686,4.5414,4.3978,0.1436,0.4935
"weight",13,15,2297,2576,0.12359,0.26413,-0.26413,0.5133,0.879,0.3657,12.0422,16.8485,1.3991,4.5414,5.9381,1.3967,0.4679
"weight",13,16,2297,1231,0.10256,0.23565,0.23565,0.5133,0.3391,0.1742,12.0422,12.665,1.0517,4.5414,3.8344,0.707,0.4352
"weight",14,15,3437,2576,0.01143,0.02162,-0.02162,0.6775,0.879,0.2015,16.4807,16.8485,1.0223,4.3978,5.9381,1.5403,0.5287
"weight",14,16,3437,1231,0.17692,0.41331,0.41331,0.6775,0.3391,0.3384,16.4807,12.665,1.3013,4.3978,3.8344,0.5634,0.4281
"weight",15,16,2576,1231,0.18884,0.43493,0.43493,0.879,0.3391,0.5399,16.8485,12.665,1.3303,5.9381,3.8344,2.1037,0.4342
