"set","n","method","measure","type","value","mc_se"
"Set1_Gaussian",600,"RV3","auc","scale",0.922000000000003,0.00219351457091841
"Set1_Gaussian",600,"RV3","auc","combined",0.876166666666668,0.00305447101964797
"Set1_Gaussian",1000,"W1","precision_at_k","overall",1,0
"Set1_Gaussian",1000,"W1","false_pooling_at_k","overall",0,0
"Set1_Gaussian",1000,"W1","harm_maxW1","overall",0,0
"Set1_Gaussian",1000,"W1","auc","location",1,0
"Set1_Gaussian",1000,"W1","auc","scale",1,0
"Set1_Gaussian",1000,"W1","auc","combined",1,0
"Set1_Gaussian",1000,"SMD","precision_at_k","overall",0.604777777777785,0.00372111702774183
"Set1_Gaussian",1000,"SMD","false_pooling_at_k","overall",0.888666666666667,0.00574277001171102
"Set1_Gaussian",1000,"SMD","harm_maxW1","overall",6.1415833333332,0.0474038089903835
"Set1_Gaussian",1000,"SMD","auc","location",1,0
"Set1_Gaussian",1000,"SMD","auc","scale",0.503833333333333,0.00534588020677474
"Set1_Gaussian",1000,"SMD","auc","combined",1,0
"Set1_Gaussian",1000,"KS","precision_at_k","overall",1,0
"Set1_Gaussian",1000,"KS","false_pooling_at_k","overall",0,0
"Set1_Gaussian",1000,"KS","harm_maxW1","overall",0,0
"Set1_Gaussian",1000,"KS","auc","location",1,0
"Set1_Gaussian",1000,"KS","auc","scale",1,0
"Set1_Gaussian",1000,"KS","auc","combined",1,0
"Set1_Gaussian",1000,"RV1","precision_at_k","overall",0.681000000000013,0.00374405372178244
"Set1_Gaussian",1000,"RV1","false_pooling_at_k","overall",0.788333333333333,0.00745796864409447
"Set1_Gaussian",1000,"RV1","harm_maxW1","overall",5.18142366666661,0.0553417827891373
"Set1_Gaussian",1000,"RV1","auc","location",1,0
"Set1_Gaussian",1000,"RV1","auc","scale",0.621666666666667,0.00524736853510472
"Set1_Gaussian",1000,"RV1","auc","combined",1,0
"Set1_Gaussian",1000,"RV2","precision_at_k","overall",1,0
"Set1_Gaussian",1000,"RV2","false_pooling_at_k","overall",0,0
"Set1_Gaussian",1000,"RV2","harm_maxW1","overall",0,0
"Set1_Gaussian",1000,"RV2","auc","location",1,0
"Set1_Gaussian",1000,"RV2","auc","scale",1,0
"Set1_Gaussian",1000,"RV2","auc","combined",1,0
