"set","n","rule","tau","viol_anchor","viol_pair","sensitivity","harm","pool_size","mc_se_viol","feasible"
"Set3_Mixture",50,"CLUST_tau",2.1432095,0.0030575,0.0030575,0.299565555556446,0.369536496045203,2.43050166666667,5.03996667792391e-05,TRUE
"Set3_Mixture",50,"CLUST_tau",3.227243,0.009345,0.0116816666666667,0.372858376624442,0.760212314038224,4.03401833333333,8.7833511898933e-05,TRUE
"Set3_Mixture",50,"CLUST_tau",3.95129535,0,0,0.382225454542769,1.11175931999408,5.20448,0,TRUE
"Set3_Mixture",100,"ANCHOR_tau",0.633921,0.000208333333333333,0.000208333333333333,0.0160727777777784,0.00026413377353223,1.04842666666667,1.317478432953e-05,TRUE
"Set3_Mixture",100,"ANCHOR_tau",2.1432095,0.007985,0.007985,0.722430793652635,0.781234287211663,4.94957666666667,8.12467423705919e-05,TRUE
"Set3_Mixture",100,"ANCHOR_tau",3.227243,0.25631,0.494279166666667,0.80048290043617,2.43682855499324,8.05703166666667,0.000398554872738163,FALSE
"Set3_Mixture",100,"ANCHOR_tau",3.95129535,0,0,0.90849696969904,3.22526236173335,10.9934666666667,0,TRUE
"Set3_Mixture",100,"CLUST_tau",0.633921,0.000206666666666667,0.000206666666666667,0.0148561111111161,0.000262020703343972,1.044775,1.31219903074812e-05,TRUE
"Set3_Mixture",100,"CLUST_tau",2.1432095,0.000171666666666667,0.000171666666666667,0.480853412698676,0.462532441034524,3.41341333333333,1.19595567512005e-05,TRUE
"Set3_Mixture",100,"CLUST_tau",3.227243,0.00139583333333333,0.00178,0.555790865797556,0.786842820175815,5.54751166666667,3.40818253452737e-05,TRUE
"Set3_Mixture",100,"CLUST_tau",3.95129535,0,0,0.520571666659656,1.12338142501145,6.72628833333333,0,TRUE
"Set3_Mixture",200,"ANCHOR_tau",0.633921,0.00250416666666667,0.00250416666666667,0.089627222222067,0.00317488795785759,1.271435,4.56243339309575e-05,TRUE
"Set3_Mixture",200,"ANCHOR_tau",2.1432095,0.000813333333333333,0.000813333333333333,0.911084841271879,0.833723521148099,6.09745,2.60235762054049e-05,TRUE
"Set3_Mixture",200,"ANCHOR_tau",3.227243,0.241318333333333,0.516785,0.873757077925568,2.55600247224832,8.65384,0.000390601881001781,FALSE
"Set3_Mixture",200,"ANCHOR_tau",3.95129535,0,0,0.970330454546483,3.28089151158463,11.673635,0,TRUE
"Set3_Mixture",200,"CLUST_tau",0.633921,0.00231833333333333,0.00231833333333333,0.0760422222221274,0.00293928063186681,1.23046,4.39029105326827e-05,TRUE
"Set3_Mixture",200,"CLUST_tau",2.1432095,4.16666666666667e-06,4.16666666666667e-06,0.686737698411365,0.522195538864892,4.59584,1.86338609918332e-06,TRUE
"Set3_Mixture",200,"CLUST_tau",3.227243,6.41666666666667e-05,9.16666666666667e-05,0.674282337654983,0.83707340094624,6.54741666666667,7.31223571064028e-06,TRUE
"Set3_Mixture",200,"CLUST_tau",3.95129535,0,0,0.68171969696301,1.7018882741612,8.49891666666667,0,TRUE
"Set3_Mixture",400,"ANCHOR_tau",0.633921,0.00316083333333333,0.00316083333333333,0.29977611111077,0.00400743761203131,1.90261833333333,5.12416047267926e-05,TRUE
"Set3_Mixture",400,"ANCHOR_tau",2.1432095,3.33333333333333e-06,3.33333333333333e-06,0.985429126984205,0.844333743181251,6.56851166666667,1.66666388888657e-06,TRUE
"Set3_Mixture",400,"ANCHOR_tau",3.227243,0.194250833333333,0.49923,0.922198809526202,2.59350977186255,8.97578166666667,0.000361152607497439,FALSE
"Set3_Mixture",400,"ANCHOR_tau",3.95129535,0,0,0.99419787878807,3.29533026420669,11.9361766666667,0,TRUE
"Set3_Mixture",400,"CLUST_tau",0.633921,0.00205416666666667,0.00205416666666667,0.238866111111565,0.00260435900702789,1.71871333333333,4.13314555955088e-05,TRUE
"Set3_Mixture",400,"CLUST_tau",2.1432095,0,0,0.891856507934733,0.671736560565195,5.92076666666667,0,TRUE
"Set3_Mixture",400,"CLUST_tau",3.227243,6.66666666666667e-06,1e-05,0.688191385273585,0.845222501284266,6.66567,2.35701474720005e-06,TRUE
"Set3_Mixture",400,"CLUST_tau",3.95129535,0,0,0.89359257575552,2.75889468992595,10.8295183333333,0,TRUE
"Set4_Extremes",25,"ANCHOR_tau",1.5082055,0.00100166666666667,0.00100166666666667,0.000379999999999993,0.00408005945183739,1.00215166666667,2.88770862241379e-05,TRUE
"Set4_Extremes",25,"ANCHOR_tau",3.0225535,0.0400466666666667,0.0400466666666667,0.0284532539682657,0.198219075322537,1.16214166666667,0.000178985407122935,TRUE
"Set4_Extremes",25,"ANCHOR_tau",4.514619,0.0659533333333333,0.0832525,0.0969980952378871,0.95976692530885,1.85298166666667,0.000226575026491513,FALSE
"Set4_Extremes",25,"ANCHOR_tau",6.9006233,0,0,0.28762681818184,2.83084468072653,4.163895,0,TRUE
"Set4_Extremes",25,"CLUST_tau",1.5082055,0.000990833333333333,0.000990833333333333,0.000378333333333326,0.00403239958659092,1.00213,2.87206601397973e-05,TRUE
"Set4_Extremes",25,"CLUST_tau",3.0225535,0.0331758333333333,0.0331758333333333,0.0248071428571524,0.167899075065843,1.139175,0.000163491073701217,TRUE
"Set4_Extremes",25,"CLUST_tau",4.514619,0.0398466666666667,0.0439208333333333,0.0638702813852679,0.631590922022008,1.55136833333333,0.000178556503247157,TRUE
"Set4_Extremes",25,"CLUST_tau",6.9006233,0,0,0.143823636364971,1.7244233462058,2.58206,0,TRUE
"Set4_Extremes",50,"ANCHOR_tau",1.5082055,0.00012,0.00012,0.000917222222222246,0.000501802069112265,1.00287166666667,9.99939998199892e-06,TRUE
"Set4_Extremes",50,"ANCHOR_tau",3.0225535,0.0307083333333333,0.0307083333333333,0.0878491269839476,0.120436209698108,1.3459,0.000157494263380242,TRUE
"Set4_Extremes",50,"ANCHOR_tau",4.514619,0.0460891666666667,0.0735883333333333,0.192885194806312,1.15884741779711,2.592705,0.000191409150300778,TRUE
