"set","n","rule","tau","viol_anchor","viol_pair","sensitivity","harm","pool_size","mc_se_viol","feasible"
"Set1_Gaussian",400,"ANCHOR_tau",7.998579,0.533375,0.533375,0.802726190476208,6.52395096487745,6.60225,0.00322028796185864,FALSE
"Set1_Gaussian",400,"ANCHOR_tau",9.2047,0.1125,0.445333333333333,0.972337662337646,8.23359036630437,9.26116666666667,0.00203964610901009,FALSE
"Set1_Gaussian",400,"ANCHOR_tau",11.9629256,0,0,0.990795454545453,9.5964456225975,11.89875,0,TRUE
"Set1_Gaussian",400,"CLUST_tau",3.995151,0,0,0.994055555555557,0,3.98216666666667,0,TRUE
"Set1_Gaussian",400,"CLUST_tau",7.998579,0.00733333333333333,0.00733333333333333,0.627238095237893,0.173244606872235,4.08666666666667,0.000550740242596103,TRUE
"Set1_Gaussian",400,"CLUST_tau",9.2047,0,0,0.651999999999959,4.7107851154801,6.356,0,TRUE
"Set1_Gaussian",400,"CLUST_tau",11.9629256,0,0,0.862060606060689,8.38874869768445,10.4826666666667,0,TRUE
"Set2_LogNormal",25,"ANCHOR_tau",3.995902,0.099625,0.099625,0.0672499999999978,0.803630967337986,1.3205,0.00193325997750561,FALSE
"Set2_LogNormal",25,"ANCHOR_tau",10.9900545,0.349375,0.349375,0.637392857142915,8.26687970748359,5.53175,0.00307755388102711,FALSE
"Set2_LogNormal",25,"ANCHOR_tau",15.1983745,0.36925,0.662583333333333,0.743943722943703,12.4455755290411,7.91525,0.00311518082340335,FALSE
"Set2_LogNormal",25,"ANCHOR_tau",18.8697106,0,0,0.786696969696875,14.4262438869011,9.65366666666667,0,TRUE
"Set2_LogNormal",25,"CLUST_tau",3.995902,0.0778333333333333,0.0778333333333333,0.0538333333333325,0.628976520512802,1.24633333333333,0.00172934604156643,FALSE
"Set2_LogNormal",25,"CLUST_tau",10.9900545,0.0921666666666667,0.0921666666666667,0.402968253968248,4.40498964076166,3.5715,0.00186717224056216,FALSE
"Set2_LogNormal",25,"CLUST_tau",15.1983745,0.075375,0.127666666666667,0.454555194805189,6.31717602013989,4.91041666666667,0.00170408344591015,FALSE
"Set2_LogNormal",25,"CLUST_tau",18.8697106,0,0,0.463954545454593,8.08463176105246,6.1035,0,TRUE
"Set2_LogNormal",50,"ANCHOR_tau",3.995902,0.129875,0.129875,0.207916666666666,1.04068399786706,1.79741666666667,0.00216994128544799,FALSE
"Set2_LogNormal",50,"ANCHOR_tau",10.9900545,0.290625,0.290625,0.783416666666683,7.82396758623954,6.10066666666667,0.00293088517185935,FALSE
"Set2_LogNormal",50,"ANCHOR_tau",15.1983745,0.36875,0.677291666666667,0.824732683982633,12.7363828032745,8.57216666666667,0.00311430461406181,FALSE
"Set2_LogNormal",50,"ANCHOR_tau",18.8697106,0,0,0.855878787878705,14.8845315560117,10.4146666666667,0,TRUE
"Set2_LogNormal",50,"CLUST_tau",3.995902,0.0890416666666667,0.0890416666666667,0.151416666666675,0.713102712228678,1.56208333333333,0.00183840111990339,FALSE
"Set2_LogNormal",50,"CLUST_tau",10.9900545,0.0309166666666667,0.0309166666666667,0.53065079365078,3.1404628497843,4.06983333333333,0.00111730379315731,TRUE
"Set2_LogNormal",50,"CLUST_tau",15.1983745,0.0273333333333333,0.04575,0.55367099567098,5.18964257873799,5.62225,0.00105250142957587,TRUE
"Set2_LogNormal",50,"CLUST_tau",18.8697106,0,0,0.521780303030433,6.95914422983169,6.73958333333333,0,TRUE
"Set2_LogNormal",100,"ANCHOR_tau",3.995902,0.103166666666667,0.103166666666667,0.440611111111108,0.82448782475508,2.46266666666667,0.00196345046575703,FALSE
"Set2_LogNormal",100,"ANCHOR_tau",10.9900545,0.212958333333333,0.212958333333333,0.89471031746031,7.15967185316457,6.41941666666667,0.00264265555831332,FALSE
"Set2_LogNormal",100,"ANCHOR_tau",15.1983745,0.359791666666667,0.678458333333333,0.871668831168774,12.920206904391,8.93716666666667,0.00309799413104599,FALSE
"Set2_LogNormal",100,"ANCHOR_tau",18.8697106,0,0,0.909984848484791,15.2410424729447,11.0098333333333,0,TRUE
"Set2_LogNormal",100,"CLUST_tau",3.995902,0.04975,0.04975,0.331833333333324,0.397592270903702,2.05983333333333,0.00140349173937719,TRUE
"Set2_LogNormal",100,"CLUST_tau",10.9900545,0.00516666666666667,0.00516666666666667,0.648658730158641,2.1742277326552,4.49541666666667,0.000462780195405183,TRUE
"Set2_LogNormal",100,"CLUST_tau",15.1983745,0.00441666666666667,0.00783333333333333,0.643163419913382,4.99655854750237,6.29933333333333,0.000428036199901277,TRUE
"Set2_LogNormal",100,"CLUST_tau",18.8697106,0,0,0.56761363636382,6.71881964435339,7.24375,0,TRUE
"Set2_LogNormal",200,"ANCHOR_tau",3.995902,0.0445,0.0445,0.687749999999992,0.35563529759226,3.11966666666667,0.00133103578088645,TRUE
"Set2_LogNormal",200,"ANCHOR_tau",10.9900545,0.115666666666667,0.115666666666667,0.962178571428555,6.35551939031936,6.59091666666667,0.00206446006751653,FALSE
"Set2_LogNormal",200,"ANCHOR_tau",15.1983745,0.337541666666667,0.662416666666667,0.897860389610341,13.0645189779138,9.09208333333333,0.00305237127718322,FALSE
"Set2_LogNormal",200,"ANCHOR_tau",18.8697106,0,0,0.952212121212089,15.4848752095725,11.4743333333333,0,TRUE
