"set","n","rule","recall","any_wrong","pool_size","mc_se_wrong"
"Set3_Mixture",400,"CLUST_sil",0.999222222222222,0.664,6.65366666666667,0.00304893424002552
"Set4_Extremes",25,"ANCHOR_tau_min",0.000305555555555555,0.00141666666666667,1.00233333333333,0.000242784173892354
"Set4_Extremes",25,"CLUST_tau_min",0.000305555555555555,0.00141666666666667,1.00233333333333,0.000242784173892354
"Set4_Extremes",25,"CLUST_sil",0.720916666666653,0.864875,8.09408333333333,0.00220667769107581
"Set4_Extremes",50,"ANCHOR_tau_min",0.00108333333333333,8.33333333333333e-05,1.00333333333333,5.8923109815847e-05
"Set4_Extremes",50,"CLUST_tau_min",0.00108333333333333,8.33333333333333e-05,1.00333333333333,5.8923109815847e-05
"Set4_Extremes",50,"CLUST_sil",0.743611111111104,0.807041666666667,7.64608333333333,0.00254726499513494
"Set4_Extremes",100,"ANCHOR_tau_min",0.00925000000000006,0,1.02775,0
"Set4_Extremes",100,"CLUST_tau_min",0.00880555555555561,0,1.02641666666667,0
"Set4_Extremes",100,"CLUST_sil",0.785999999999995,0.680041666666667,6.72191666666667,0.00301098681404099
"Set4_Extremes",200,"ANCHOR_tau_min",0.0755833333333307,0.000166666666666667,1.22691666666667,8.33263885995129e-05
"Set4_Extremes",200,"CLUST_tau_min",0.0624166666666651,0.000166666666666667,1.18741666666667,8.33263885995129e-05
"Set4_Extremes",200,"CLUST_sil",0.865388888888893,0.447958333333333,5.5615,0.00320995628819249
"Set4_Extremes",400,"ANCHOR_tau_min",0.279777777777771,0,1.83933333333333,0
"Set4_Extremes",400,"CLUST_tau_min",0.217499999999998,0,1.6525,0
"Set4_Extremes",400,"CLUST_sil",0.930222222222222,0.182958333333333,4.52625,0.00249570115062232
