"set","n","method","measure","value","mc_se"
"Set2_LogNormal",400,"RV2","ari",0.963785822712434,0.00283119767809682
"Set2_LogNormal",400,"RV2","exact_recovery",0.9175,0.0061519813881383
"Set2_LogNormal",400,"RV3","ari",0.790825106120459,0.00605207174125279
"Set2_LogNormal",400,"RV3","exact_recovery",0.6055,0.010928626400422
"Set2_LogNormal",600,"W1","ari",0.99849977206864,0.000670323268789808
"Set2_LogNormal",600,"W1","exact_recovery",0.9975,0.00111663557170635
"Set2_LogNormal",600,"SMD","ari",0.453332045951398,0.00175624227227728
"Set2_LogNormal",600,"SMD","exact_recovery",0.003,0.00122290637417588
"Set2_LogNormal",600,"KS","ari",1,0
"Set2_LogNormal",600,"KS","exact_recovery",1,0
"Set2_LogNormal",600,"RV1","ari",0.488657727076957,0.00188280620101991
"Set2_LogNormal",600,"RV1","exact_recovery",0.0055,0.00165374574829385
"Set2_LogNormal",600,"RV2","ari",0.990437066178951,0.00149671826075455
"Set2_LogNormal",600,"RV2","exact_recovery",0.9785,0.00324328151722911
"Set2_LogNormal",600,"RV3","ari",0.857899801930494,0.00545322563123745
"Set2_LogNormal",600,"RV3","exact_recovery",0.7375,0.00983854028807119
"Set2_LogNormal",1000,"W1","ari",1,0
"Set2_LogNormal",1000,"W1","exact_recovery",1,0
"Set2_LogNormal",1000,"SMD","ari",0.45882301195049,0.00175594369976121
"Set2_LogNormal",1000,"SMD","exact_recovery",0.0025,0.00111663557170636
"Set2_LogNormal",1000,"KS","ari",1,0
"Set2_LogNormal",1000,"KS","exact_recovery",1,0
"Set2_LogNormal",1000,"RV1","ari",0.493053815159722,0.00189429141366015
"Set2_LogNormal",1000,"RV1","exact_recovery",0.005,0.00157718102955875
"Set2_LogNormal",1000,"RV2","ari",0.998960722762422,0.000520800265702178
"Set2_LogNormal",1000,"RV2","exact_recovery",0.998,0.000998999499499375
"Set2_LogNormal",1000,"RV3","ari",0.916141032876297,0.00451493926505215
"Set2_LogNormal",1000,"RV3","exact_recovery",0.85,0.00798435971133566
"Set2_LogNormal",1500,"W1","ari",1,0
"Set2_LogNormal",1500,"W1","exact_recovery",1,0
"Set2_LogNormal",1500,"SMD","ari",0.464299758400127,0.00186908980401478
"Set2_LogNormal",1500,"SMD","exact_recovery",0.004,0.00141138230115019
"Set2_LogNormal",1500,"KS","ari",1,0
"Set2_LogNormal",1500,"KS","exact_recovery",1,0
"Set2_LogNormal",1500,"RV1","ari",0.497867542650061,0.00192171883094864
"Set2_LogNormal",1500,"RV1","exact_recovery",0.006,0.0017268468374468
"Set2_LogNormal",1500,"RV2","ari",1,0
"Set2_LogNormal",1500,"RV2","exact_recovery",1,0
"Set2_LogNormal",1500,"RV3","ari",0.948002221419503,0.00371023305137596
"Set2_LogNormal",1500,"RV3","exact_recovery",0.91,0.00639921870231046
"Set2_LogNormal",2000,"W1","ari",1,0
"Set2_LogNormal",2000,"W1","exact_recovery",1,0
"Set2_LogNormal",2000,"SMD","ari",0.460564494725282,0.001690114550535
"Set2_LogNormal",2000,"SMD","exact_recovery",0.002,0.000998999499499374
"Set2_LogNormal",2000,"KS","ari",1,0
"Set2_LogNormal",2000,"KS","exact_recovery",1,0
"Set2_LogNormal",2000,"RV1","ari",0.494031062266319,0.00177728655937192
"Set2_LogNormal",2000,"RV1","exact_recovery",0.0035,0.0013205585939291
"Set2_LogNormal",2000,"RV2","ari",0.999752252252252,0.00024768580306692
"Set2_LogNormal",2000,"RV2","exact_recovery",0.9995,0.000499874984371065
"Set2_LogNormal",2000,"RV3","ari",0.953151656449987,0.00353601012839234
"Set2_LogNormal",2000,"RV3","exact_recovery",0.919,0.00610077863882964
"Set3_Mixture",150,"W1","ari",0.576534745874259,0.00395714958557792
"Set3_Mixture",150,"W1","exact_recovery",0.104,0.00682583328246449
"Set3_Mixture",150,"SMD","ari",0.00496689567817221,0.00249022122580417
"Set3_Mixture",150,"SMD","exact_recovery",0,0
"Set3_Mixture",150,"KS","ari",0.535625625349749,0.00333266658891434
"Set3_Mixture",150,"KS","exact_recovery",0.0505,0.00489641450451246
"Set3_Mixture",150,"RV1","ari",0.00480023548853895,0.00247241470416718
"Set3_Mixture",150,"RV1","exact_recovery",0,0
"Set3_Mixture",150,"RV2","ari",0.0173221745463272,0.00221630002741422
"Set3_Mixture",150,"RV2","exact_recovery",0,0
"Set3_Mixture",150,"RV3","ari",0.172102788910808,0.00392141101176652
"Set3_Mixture",150,"RV3","exact_recovery",5e-04,0.000499874984371093
"Set3_Mixture",200,"W1","ari",0.635087457113742,0.00473208148650602
"Set3_Mixture",200,"W1","exact_recovery",0.2075,0.0090676278595893
"Set3_Mixture",200,"SMD","ari",0.00270851884109938,0.00246156614833126
"Set3_Mixture",200,"SMD","exact_recovery",0,0
"Set3_Mixture",200,"KS","ari",0.569370973071864,0.00378770822390794
"Set3_Mixture",200,"KS","exact_recovery",0.0845,0.00621931467285584
"Set3_Mixture",200,"RV1","ari",0.0028156976795826,0.00246706980579142
"Set3_Mixture",200,"RV1","exact_recovery",0,0
"Set3_Mixture",200,"RV2","ari",0.0167634277442028,0.00228565721916888
"Set3_Mixture",200,"RV2","exact_recovery",0,0
"Set3_Mixture",200,"RV3","ari",0.201267313681338,0.00409740911781033
"Set3_Mixture",200,"RV3","exact_recovery",5e-04,0.000499874984371093
"Set3_Mixture",300,"W1","ari",0.742816947536642,0.0052912050623906
"Set3_Mixture",300,"W1","exact_recovery",0.42,0.0110363037290571
"Set3_Mixture",300,"SMD","ari",-0.00233316774465883,0.00237613681314014
"Set3_Mixture",300,"SMD","exact_recovery",0,0
"Set3_Mixture",300,"KS","ari",0.623786886645982,0.00443997411072972
"Set3_Mixture",300,"KS","exact_recovery",0.1645,0.00828974517099289
"Set3_Mixture",300,"RV1","ari",-0.00157129361164594,0.00239798743586878
"Set3_Mixture",300,"RV1","exact_recovery",0,0
"Set3_Mixture",300,"RV2","ari",0.0147210497576256,0.00214102128248125
"Set3_Mixture",300,"RV2","exact_recovery",0,0
"Set3_Mixture",300,"RV3","ari",0.228569782201236,0.00420897454902223
"Set3_Mixture",300,"RV3","exact_recovery",5e-04,0.000499874984371093
"Set3_Mixture",400,"W1","ari",0.828636859450894,0.00504282810629085
"Set3_Mixture",400,"W1","exact_recovery",0.6055,0.010928626400422
"Set3_Mixture",400,"SMD","ari",-7.53652643690244e-05,0.00232168840407321
"Set3_Mixture",400,"SMD","exact_recovery",0,0
"Set3_Mixture",400,"KS","ari",0.680610287686451,0.00482841505682299
"Set3_Mixture",400,"KS","exact_recovery",0.2615,0.00982643755386457
"Set3_Mixture",400,"RV1","ari",-0.00115548758501622,0.00231395302689067
"Set3_Mixture",400,"RV1","exact_recovery",0,0
"Set3_Mixture",400,"RV2","ari",0.0173264795916668,0.00222450511787152
"Set3_Mixture",400,"RV2","exact_recovery",0,0
"Set3_Mixture",400,"RV3","ari",0.264191603731667,0.00432271863004135
"Set3_Mixture",400,"RV3","exact_recovery",0,0
"Set3_Mixture",600,"W1","ari",0.945555803655885,0.00329026166669606
"Set3_Mixture",600,"W1","exact_recovery",0.869,0.00754450130890041
"Set3_Mixture",600,"SMD","ari",-0.00162614216125623,0.00239959296941019
"Set3_Mixture",600,"SMD","exact_recovery",0,0
"Set3_Mixture",600,"KS","ari",0.787655650058892,0.00493501177021084
"Set3_Mixture",600,"KS","exact_recovery",0.475,0.0111663557170636
"Set3_Mixture",600,"RV1","ari",-0.00106766068496114,0.00240102262853032
"Set3_Mixture",600,"RV1","exact_recovery",0,0
"Set3_Mixture",600,"RV2","ari",0.0183406153240523,0.00225240663943159
"Set3_Mixture",600,"RV2","exact_recovery",0,0
"Set3_Mixture",600,"RV3","ari",0.286459017545883,0.00426067083072634
"Set3_Mixture",600,"RV3","exact_recovery",5e-04,0.000499874984371093
"Set3_Mixture",1000,"W1","ari",0.995700658456283,0.000930689561308449
"Set3_Mixture",1000,"W1","exact_recovery",0.9885,0.00238408787589719
"Set3_Mixture",1000,"SMD","ari",0.00387823398608103,0.0025201923536537
"Set3_Mixture",1000,"SMD","exact_recovery",0,0
