"set","n","tau_clin","n_acceptable","method","tau","violation","violation_se","sensitivity","sensitivity_se"
"Set1_Gaussian",25,4.520839,4,"W1",7.92656358857465,0.9875,0.00248432586429397,0.9575,0.00213673231828415
"Set1_Gaussian",25,4.520839,4,"W1",7.989423,0.9895,0.00227922684259377,0.958625,0.0021147528667672
"Set1_Gaussian",25,4.520839,4,"W1",8.01000110003333,0.9895,0.00227922684259377,0.959375,0.00209980467841654
"Set1_Gaussian",25,4.520839,4,"W1",8.09343861149201,0.991,0.00211175282644537,0.9615,0.00205611891679444
"Set1_Gaussian",25,4.520839,4,"W1",8.17687612295069,0.992,0.0019919839356782,0.964,0.0019942417105256
"Set1_Gaussian",25,4.520839,4,"W1",8.26031363440937,0.994,0.00172684683744679,0.965625,0.00193321097852771
"Set1_Gaussian",25,4.520839,4,"W1",8.34375114586805,0.9955,0.00149662119455791,0.967625,0.00188522006341436
"Set1_Gaussian",25,4.520839,4,"W1",8.42718865732673,0.9965,0.00132055859392908,0.968875,0.00185404751489813
"Set1_Gaussian",25,4.520839,4,"W1",8.51062616878541,0.9965,0.00132055859392908,0.971125,0.00179547826149469
"Set1_Gaussian",25,4.520839,4,"W1",8.59406368024409,0.9965,0.00132055859392908,0.972625,0.0017545454361458
"Set1_Gaussian",25,4.520839,4,"W1",8.67750119170277,0.9975,0.00111663557170636,0.97375,0.00172277936776593
"Set1_Gaussian",25,4.520839,4,"W1",8.76093870316145,0.998,0.000998999499499374,0.974875,0.00169004206678411
"Set1_Gaussian",25,4.520839,4,"W1",8.84437621462014,0.998,0.000998999499499374,0.976375,0.00163525370737998
"Set1_Gaussian",25,4.520839,4,"W1",8.92781372607882,0.9985,0.000865375640979097,0.977,0.001615704180845
"Set1_Gaussian",25,4.520839,4,"W1",9.0112512375375,0.999,0.000706753139363375,0.9775,0.00159980467557759
"Set1_Gaussian",25,4.520839,4,"W1",9.09468874899618,0.999,0.000706753139363375,0.97825,0.00157550587114109
"Set1_Gaussian",25,4.520839,4,"W1",9.17812626045486,0.999,0.000706753139363375,0.978875,0.00155482866821394
"Set1_Gaussian",25,4.520839,4,"W1",9.26156377191354,0.999,0.000706753139363375,0.98025,0.00150788552284318
"Set1_Gaussian",25,4.520839,4,"W1",9.34500128337222,0.999,0.000706753139363375,0.9815,0.00146334377369091
"Set1_Gaussian",25,4.520839,4,"W1",9.4284387948309,0.999,0.000706753139363375,0.98275,0.00141685170360203
"Set1_Gaussian",25,4.520839,4,"W1",9.51187630628958,0.999,0.000706753139363375,0.984,0.00136821051011896
"Set1_Gaussian",25,4.520839,4,"W1",9.59531381774826,0.999,0.000706753139363375,0.98475,0.00133789713730166
"Set1_Gaussian",25,4.520839,4,"W1",9.67875132920694,0.999,0.000706753139363375,0.985625,0.00130136646933139
"Set1_Gaussian",25,4.520839,4,"W1",9.76218884066562,0.999,0.000706753139363375,0.986125,0.00127988952159941
"Set1_Gaussian",25,4.520839,4,"W1",9.8456263521243,0.999,0.000706753139363375,0.987,0.00124116880399082
"Set1_Gaussian",25,4.520839,4,"W1",9.92906386358298,0.999,0.000706753139363375,0.987625,0.00121256120979519
"Set1_Gaussian",25,4.520839,4,"W1",10.0125013750417,0.9995,0.000499874984371048,0.988,0.00119498953970317
"Set1_Gaussian",25,4.520839,4,"W1",10.0959388865003,0.9995,0.000499874984371048,0.9885,0.00117105721465691
"Set1_Gaussian",25,4.520839,4,"W1",10.179376397959,0.9995,0.000499874984371048,0.989125,0.0011402816263976
"Set1_Gaussian",25,4.520839,4,"W1",10.2628139094177,0.9995,0.000499874984371048,0.989625,0.0011149236240658
"Set1_Gaussian",25,4.520839,4,"W1",10.3462514208764,0.9995,0.000499874984371048,0.99025,0.00108222860339211
"Set1_Gaussian",25,4.520839,4,"W1",10.4296889323351,1,0,0.990875,0.00104832828231429
"Set1_Gaussian",25,4.520839,4,"W1",10.5131264437937,1,0,0.99125,0.00102736008779788
"Set1_Gaussian",25,4.520839,4,"W1",10.5965639552524,1,0,0.991875,0.000991270491591518
"Set1_Gaussian",25,4.520839,4,"W1",10.6800014667111,1,0,0.9925,0.000953611556137998
"Set1_Gaussian",25,4.520839,4,"W1",10.7634389781698,1,0,0.99275,0.000938066495510854
"Set1_Gaussian",25,4.520839,4,"W1",10.8468764896285,1,0,0.993,0.000922225568936381
"Set1_Gaussian",25,4.520839,4,"W1",10.9303140010871,1,0,0.993625,0.000881223403854007
"Set1_Gaussian",25,4.520839,4,"W1",11.0137515125458,1,0,0.994,0.000855569985448304
"Set1_Gaussian",25,4.520839,4,"W1",11.0971890240045,1,0,0.99475,0.000801541483642586
"Set1_Gaussian",25,4.520839,4,"W1",11.1806265354632,1,0,0.995125,0.00077297618818434
"Set1_Gaussian",25,4.520839,4,"W1",11.2640640469219,1,0,0.995375,0.000753279289175011
"Set1_Gaussian",25,4.520839,4,"W1",11.3475015583806,1,0,0.995875,0.000712121610049868
"Set1_Gaussian",25,4.520839,4,"W1",11.4309390698392,1,0,0.996,0.000701427116670002
