"set","n","method","ari","mc_se","k_hat_mean","k_hat_mode","p_k_correct"
"Set4_Extremes",100,"KS",0.00300571791376167,0.00186704607473401,2.1445,2,0.0715
"Set4_Extremes",100,"RV1",0.0216883930698964,0.00242597374254607,3.105,2,0.1905
"Set4_Extremes",100,"RV2",0.267580781831311,0.00444262655810565,3.295,2,0.2875
"Set4_Extremes",100,"RV3",0.176982575008854,0.00415057572599,2.9665,2,0.2085
"Set4_Extremes",200,"W1",0.566439654036278,0.00595242705374257,2.87,2,0.1735
"Set4_Extremes",200,"SMD",0.016598748730308,0.00257000228279042,3.2405,2,0.215
"Set4_Extremes",200,"KS",0.00772477667889117,0.00193712464831634,2.1475,2,0.0645
"Set4_Extremes",200,"RV1",0.0211359005036022,0.00251370843095245,3.0615,2,0.2145
"Set4_Extremes",200,"RV2",0.327397619518255,0.00452135463319671,3.4685,2,0.2935
"Set4_Extremes",200,"RV3",0.194224059432472,0.00434002280623836,2.9345,2,0.2145
"Set4_Extremes",400,"W1",0.817113515268386,0.00486936990490068,3.017,3,0.4825
"Set4_Extremes",400,"SMD",0.0175309948466738,0.00258551753009875,3.2315,2,0.2445
"Set4_Extremes",400,"KS",0.0925655235091854,0.00410939188820389,2.4755,2,0.0635
"Set4_Extremes",400,"RV1",0.0242013827809812,0.00254177248884406,3.101,2,0.214
"Set4_Extremes",400,"RV2",0.40123760068896,0.00470796416538924,3.7415,3,0.265
"Set4_Extremes",400,"RV3",0.205951364228739,0.00454508420909706,2.92,2,0.2025
