"set","n","rule","recall","any_wrong","pool_size","mc_se_wrong"
"Set2_LogNormal",200,"ANCHOR_tau_min",0.686707777777447,0.04446,3.11592833333333,0.000188156203724459
"Set2_LogNormal",200,"CLUST_tau_min",0.592896666666892,0.0112016666666667,2.79272,9.60737101160508e-05
"Set2_LogNormal",200,"CLUST_sil",0.993264444444435,0.302730833333333,5.18056666666667,0.000419409183537429
"Set2_LogNormal",400,"ANCHOR_tau_min",0.863552222221262,0.00728916666666667,3.59878166666667,7.76532609101308e-05
"Set2_LogNormal",400,"CLUST_tau_min",0.799810555555589,0.0005175,3.40000166666667,2.07611856146271e-05
"Set2_LogNormal",400,"CLUST_sil",0.998948333333331,0.0463508333333333,4.18151833333333,0.000191925405610789
"Set3_Mixture",25,"ANCHOR_tau_min",0.000156111111111112,6.66666666666667e-06,1.000475,2.35701474720005e-06
"Set3_Mixture",25,"CLUST_tau_min",0.000156111111111112,6.66666666666667e-06,1.000475,2.35701474720005e-06
"Set3_Mixture",25,"CLUST_sil",0.648198333332923,0.756809166666667,5.995395,0.000391630195375659
"Set3_Mixture",50,"ANCHOR_tau_min",0.00136555555555548,1.5e-05,1.00411166666667,3.53550738932901e-06
"Set3_Mixture",50,"CLUST_tau_min",0.00135555555555548,1.5e-05,1.00408166666667,3.53550738932901e-06
"Set3_Mixture",50,"CLUST_sil",0.799598888888511,0.644378333333333,5.62262666666667,0.000436992464526839
"Set3_Mixture",100,"ANCHOR_tau_min",0.0160727777777784,0.000208333333333333,1.04842666666667,1.317478432953e-05
"Set3_Mixture",100,"CLUST_tau_min",0.0148561111111161,0.000206666666666667,1.044775,1.31219903074812e-05
"Set3_Mixture",100,"CLUST_sil",0.953504999999996,0.648739166666667,6.35606333333333,0.000435771978121687
"Set3_Mixture",200,"ANCHOR_tau_min",0.089627222222067,0.00250416666666667,1.271435,4.56243339309575e-05
"Set3_Mixture",200,"CLUST_tau_min",0.0760422222221274,0.00231833333333333,1.23046,4.39029105326827e-05
"Set3_Mixture",200,"CLUST_sil",0.993828888888902,0.66175,6.62157833333333,0.000431892094451843
"Set3_Mixture",400,"ANCHOR_tau_min",0.29977611111077,0.00316083333333333,1.90261833333333,5.12416047267926e-05
"Set3_Mixture",400,"CLUST_tau_min",0.238866111111565,0.00205416666666667,1.71871333333333,4.13314555955088e-05
"Set3_Mixture",400,"CLUST_sil",0.999003333333339,0.663664166666667,6.65144333333333,0.000431290737737033
"Set4_Extremes",25,"ANCHOR_tau_min",0.000379999999999993,0.00100166666666667,1.00215166666667,2.88770862241379e-05
"Set4_Extremes",25,"CLUST_tau_min",0.000378333333333326,0.000990833333333333,1.00213,2.87206601397973e-05
"Set4_Extremes",25,"CLUST_sil",0.720901666665933,0.867240833333333,8.109015,0.000309750128238659
"Set4_Extremes",50,"ANCHOR_tau_min",0.000917222222222246,0.00012,1.00287166666667,9.99939998199892e-06
"Set4_Extremes",50,"CLUST_tau_min",0.000910555555555581,0.000118333333333333,1.00285,9.92972517895786e-06
"Set4_Extremes",50,"CLUST_sil",0.742851111110434,0.8102325,7.61349166666667,0.000357952273289506
"Set4_Extremes",100,"ANCHOR_tau_min",0.00939166666666866,8.33333333333333e-06,1.02818333333333,2.63522040332001e-06
"Set4_Extremes",100,"CLUST_tau_min",0.00893277777777908,8.33333333333333e-06,1.02680666666667,2.63522040332001e-06
"Set4_Extremes",100,"CLUST_sil",0.788832222221724,0.6771525,6.71023,0.00042682645941076
"Set4_Extremes",200,"ANCHOR_tau_min",0.0761205555554822,0,1.22836166666667,0
"Set4_Extremes",200,"CLUST_tau_min",0.0629822222222506,0,1.18894666666667,0
"Set4_Extremes",200,"CLUST_sil",0.86577555555531,0.453335833333333,5.57267166666667,0.000454443300047162
"Set4_Extremes",400,"ANCHOR_tau_min",0.271858888888808,0,1.81557666666667,0
"Set4_Extremes",400,"CLUST_tau_min",0.210768333333988,0,1.632305,0
"Set4_Extremes",400,"CLUST_sil",0.933955555555648,0.195033333333333,4.573755,0.000361703529867374
