"set","n","tau_clin","method","kind","tau","violation","sensitivity","feasible"
"Set1_Gaussian",75,7.10665,"SMD","oracle_best",0.00751132169446622,0.038,0.0230000000000001,TRUE
"Set1_Gaussian",75,7.10665,"KS","oracle_best",0.161809045226131,0.0245,0.415071428571433,TRUE
"Set1_Gaussian",75,7.10665,"RV1","oracle_best",0.041804789917422,0.0425,0.0405000000000001,TRUE
"Set1_Gaussian",75,7.10665,"RV2","oracle_best",1.61426346228486,0.045,0.667428571428577,TRUE
"Set1_Gaussian",75,7.10665,"RV3","oracle_best",1.86166363570305,0.0495,0.519071428571426,TRUE
"Set1_Gaussian",75,7.989423,"W1","oracle_best",5.34000073335555,0.047,0.6305,TRUE
"Set1_Gaussian",75,7.989423,"W1_derived","derived_tau_clin",7.989423,0.498,0.8935,FALSE
"Set1_Gaussian",75,7.989423,"SMD","oracle_best",0.518281196918169,0.046,0.8720625,TRUE
"Set1_Gaussian",75,7.989423,"KS","oracle_best",0.242713567839196,0.0355,0.7303125,TRUE
"Set1_Gaussian",75,7.989423,"RV1","oracle_best",1.60948441182075,0.0495,0.84525,TRUE
"Set1_Gaussian",75,7.989423,"RV2","oracle_best",1.63765858492667,0.0465,0.5901875,TRUE
"Set1_Gaussian",75,7.989423,"RV3","oracle_best",1.89075213001091,0.05,0.4588125,TRUE
"Set1_Gaussian",100,4.520839,"W1","oracle_best",2.5865628552191,0.0395,0.68125,TRUE
"Set1_Gaussian",100,4.520839,"W1_derived","derived_tau_clin",4.520839,0.5545,0.8725,FALSE
"Set1_Gaussian",100,4.520839,"SMD","oracle_best",0,0,0,TRUE
"Set1_Gaussian",100,4.520839,"KS","oracle_best",0.111243718592965,0.0345,0.40675,TRUE
"Set1_Gaussian",100,4.520839,"RV1","oracle_best",0.020902394958711,0.048,0.0315,TRUE
"Set1_Gaussian",100,4.520839,"RV2","oracle_best",0.818829292463333,0.0455,0.698,TRUE
"Set1_Gaussian",100,4.520839,"RV3","oracle_best",1.07627428939083,0.044,0.35525,TRUE
"Set1_Gaussian",100,4.8936535,"W1","oracle_best",2.75343787813646,0.0465,0.571800000000003,TRUE
"Set1_Gaussian",100,4.8936535,"W1_derived","derived_tau_clin",4.8936535,0.505,0.807799999999981,FALSE
"Set1_Gaussian",100,4.8936535,"SMD","oracle_best",0.00751132169446622,0.0435,0.0377000000000002,TRUE
"Set1_Gaussian",100,4.8936535,"KS","oracle_best",0.141582914572864,0.0465,0.527700000000003,TRUE
"Set1_Gaussian",100,4.8936535,"RV1","oracle_best",0.041804789917422,0.0485,0.0640000000000006,TRUE
"Set1_Gaussian",100,4.8936535,"RV2","oracle_best",0.842224415105143,0.046,0.570700000000003,TRUE
"Set1_Gaussian",100,4.8936535,"RV3","oracle_best",1.13445127800655,0.0455,0.305599999999998,TRUE
"Set1_Gaussian",100,5.617227,"W1","oracle_best",4.08843806147535,0.0455,0.626833333333333,TRUE
"Set1_Gaussian",100,5.617227,"W1_derived","derived_tau_clin",5.617227,0.325,0.850583333333329,FALSE
"Set1_Gaussian",100,5.617227,"SMD","oracle_best",0,0,0,TRUE
