"scenario","n","normalizer","true_nABCD","mean_est","bias","rmse","sd_est","mean_ci_width","coverage_pct","n_valid"
"N7",100,"IQR",0.370711107642592,0.398082939028344,0.0273718313857513,0.0792248079637513,0.0743498879223545,0.296359521609486,0.9179,10000
"N7",100,"Q95Q5",0.138525966568063,0.150903585288293,0.0123776187202299,0.031071904994488,0.0285015625661116,0.10956486695857,0.9194,10000
"N7",100,"SD",0.422569643460744,0.451734169374832,0.0291645259140883,0.0831219723104585,0.0778414968949788,0.295045564480701,0.9071,10000
"N7",100,"MAD",0.90325332804166,0.977198276305176,0.0739449482635165,0.229295647001442,0.217056098037086,0.846249337944357,0.9364,10000
"N7",100,"Range",0.0176884778315472,0.0638791640674501,0.0461906862359029,0.0485922839167155,0.0150881850012423,0.057640239865859,0,10000
"N7",100,"SMD",-0.000843658795575906,-0.00693407442342054,-0.00609041562784463,0.142945790195956,0.142823127037564,NA,NA,10000
"N7",200,"IQR",0.370711107642592,0.384683640234882,0.0139725325922901,0.0548172128609359,0.0530092082228568,0.20939600547819,0.9338,10000
"N7",200,"Q95Q5",0.138525966568063,0.144880632146905,0.00635466557884209,0.0209739976503716,0.0199891660530104,0.0782437009022745,0.939,10000
"N7",200,"SD",0.422569643460744,0.437599954378632,0.015030310917888,0.0573456258358926,0.055343625178575,0.214100436572188,0.9303,10000
"N7",200,"MAD",0.90325332804166,0.945085483440319,0.0418321553986596,0.162177257461672,0.15669712508975,0.608568158379184,0.9396,10000
"N7",200,"Range",0.0176884778315472,0.0534557174865036,0.0357672396549564,0.0373354525951172,0.0107075698994904,0.0382835341180884,1e-04,10000
"N7",200,"SMD",-0.000843658795575906,-0.00377737941626298,-0.00293372062068707,0.100449511224537,0.100411681786294,NA,NA,10000
"N8",50,"IQR",0.394409150040282,0.423572214074356,0.0291630640340739,0.139385276628505,0.136307112799917,0.485450334167585,0.9427,10000
"N8",50,"Q95Q5",0.152664856401681,0.166524462437088,0.0138596060354065,0.0540951759158602,0.0522921870377756,0.181184646903846,0.9344,10000
"N8",50,"SD",0.491411757640998,0.520577499752753,0.0291657421117548,0.162853173613329,0.160228221457079,0.5444343157787,0.9369,10000
"N8",50,"MAD",0.789995277251553,0.842851687119741,0.0528564098681882,0.276140189650002,0.271047875791127,0.977707046525999,0.9445,10000
"N8",50,"Range",0.0113563158994247,0.0943923597848112,0.0830360438853866,0.0892437867541233,0.0327043704673298,0.121655315411205,0,10000
"N8",50,"SMD",0.500487926012281,0.505205306190353,0.00471738017807266,0.20863137162937,0.208588461969627,NA,NA,10000
"N8",100,"IQR",0.394409150040282,0.406026897924594,0.0116177478843112,0.102318043782662,0.101661416092633,0.373349457230447,0.942,10000
"N8",100,"Q95Q5",0.152664856401681,0.15857961711304,0.00591476071135866,0.0395362904203754,0.0390933075423543,0.141625586151576,0.9394,10000
"N8",100,"SD",0.491411757640998,0.503463172591076,0.0120514149500782,0.122142964632126,0.121553053113848,0.436903852312525,0.9382,10000
"N8",100,"MAD",0.789995277251553,0.810714106320064,0.0207188290685114,0.20435262302382,0.20330975909818,0.749604988728132,0.9432,10000
"N8",100,"Range",0.0113563158994247,0.0800133053319644,0.0686569894325398,0.0724839136415631,0.0232419783541222,0.0865610242987056,0,10000
"N8",100,"SMD",0.500487926012281,0.502306144905281,0.00181821889300038,0.14633008206168,0.146326102008657,NA,NA,10000
"N8",200,"IQR",0.394409150040282,0.399595512148129,0.00518636210784668,0.0734160223340918,0.0732362638211427,0.279342831392888,0.9498,10000
"N8",200,"Q95Q5",0.152664856401681,0.155519500483201,0.00285464408152034,0.0282149310805909,0.0280715540051627,0.106732067785158,0.9463,10000
"N8",200,"SD",0.491411757640998,0.497129785161469,0.00571802752047079,0.0884635079243491,0.0882829303044186,0.333211262747263,0.9451,10000
"N8",200,"MAD",0.789995277251553,0.799038773429489,0.00904349617793576,0.146780037225485,0.146508501387778,0.560517489499395,0.9492,10000
"N8",200,"Range",0.0113563158994247,0.0688056080464336,0.0574492921470089,0.0599383865408256,0.0170943919092933,0.0609521236046962,0,10000
"N8",200,"SMD",0.500487926012281,0.501154975373725,0.000667049361444905,0.102593572944552,0.102596534344803,NA,NA,10000
